Project Name,Street Name,Property Type,Sale Date,Transacted Price ($),Unit Price ($ PSF),Area (SQFT),Postal District,Floor Level,Tenure,latitude,longitude,geocoded_address,price_level,psf_level
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Retail,2025-11-01,1050000,3364.0,312.16,21,B1 to B5,99 yrs lease commencing from 1976,1.33875930729064,103.778600077834,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996,1-3M,2-4k PSF
CENTROPOD @ CHANGI,CHANGI ROAD,Retail,2025-11-01,480000,2027.0,236.81,14,01 to 05,Freehold,1.3163342529209,103.900524938485,80 CHANGI ROAD CENTROPOD @ CHANGI SINGAPORE 419715,<1M,2-4k PSF
FAR EAST PLAZA,SCOTTS ROAD,Retail,2025-11-01,1300000,4831.0,269.1,9,01 to 05,Freehold,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,1-3M,4-7k PSF
FORTUNE CENTRE,MIDDLE ROAD,Retail,2025-11-01,1178000,2606.0,452.09,7,01 to 05,99 yrs lease commencing from 1980,1.30042241913975,103.852286627386,190 MIDDLE ROAD FORTUNE CENTRE SINGAPORE 188979,1-3M,2-4k PSF
GOLDEN MILE TOWER,BEACH ROAD,Retail,2025-11-01,1400000,1885.0,742.72,7,01 to 05,99 yrs lease commencing from 1969,1.30189174683933,103.864140679249,6001 BEACH ROAD GOLDEN MILE TOWER SINGAPORE 199589,1-3M,<2k PSF
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,2025-11-01,1168400,1840.0,635.08,5,01 to 05,Freehold,1.27948670070186,103.785756186651,218 PASIR PANJANG ROAD ICON @ PASIR PANJANG SINGAPORE 118579,1-3M,<2k PSF
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,2025-11-01,625000,3629.0,172.22,15,B1 to B5,Freehold,1.3040973115095,103.901515916971,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,<1M,2-4k PSF
KEMBANGAN PLAZA,JALAN MASJID,Retail,2025-11-01,3800000,3269.0,1162.51,14,01 to 05,Freehold,1.32037255609864,103.912642849629,18 JALAN MASJID KEMBANGAN PLAZA SINGAPORE 418944,3-10M,2-4k PSF
LUCKY PLAZA,ORCHARD ROAD,Retail,2025-11-01,1700000,9871.0,172.22,9,B1 to B5,Freehold,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1-3M,>7k PSF
OCEAN PARK,EAST COAST ROAD,Retail,2025-11-01,1070000,2761.0,387.5,15,01 to 05,Freehold,1.31012949000343,103.918411117303,520 EAST COAST ROAD OCEAN PARK SINGAPORE 458965,1-3M,2-4k PSF
ORCHARD PLAZA,ORCHARD ROAD,Retail,2025-11-01,640000,2703.0,236.81,9,01 to 05,99 yrs lease commencing from 1977,1.30502562565776,103.832957478209,320 ORCHARD ROAD SINGAPORE MARRIOTT TANG PLAZA HOTEL SINGAPORE 238865,<1M,2-4k PSF
